Fecha y hora,Tipo,Medio,Detalle,Valor
06/08/2024 14:28:42,Uso,LINEA E,,-$ 650.00
05/08/2024 21:39:47,Uso,LINEA E,,-$ 650.00
05/08/2024 17:30:31,Uso,LINEA E,,-$ 650.00
03/08/2024 20:11:48,Carga virtual,,,"$ 3,000.00"
03/08/2024 20:11:45,Carga virtual,,,"$ 3,000.00"
02/08/2024 16:09:45,Uso,LINEA H,,-$ 650.00
02/08/2024 7:42:30,Uso,LINEA E,,-$ 650.00
01/08/2024 21:29:56,Uso,LINEA E,,-$ 650.00
01/08/2024 10:38:19,Uso,LINEA E,,-$ 650.00
31/07/2024 18:04:57,Uso,LINEA H,,-$ 520.00
31/07/2024 14:33:15,Uso,LINEA E,,-$ 650.00
30/07/2024 19:24:38,Carga virtual,,,"$ 8,000.00"
26/07/2024 13:46:15,Carga virtual,,,"$ 2,000.00"
26/07/2024 13:46:13,Carga virtual,,,"$ 5,000.00"
25/07/2024 21:57:32,Uso,LINEA E,,-$ 650.00
25/07/2024 16:23:58,Uso,LINEA H,,-$ 650.00
25/07/2024 11:34:41,Uso,LINEA E,,-$ 650.00
24/07/2024 17:40:13,Uso,LINEA E,,-$ 650.00
24/07/2024 13:27:02,Uso,LINEA E,,-$ 650.00
24/07/2024 13:14:08,Carga virtual,,,"$ 5,000.00"
24/07/2024 13:14:04,Carga virtual,,,"$ 1,500.00"
24/07/2024 9:49:59,Uso,LINEA E,,-$ 650.00
24/07/2024 9:49:40,Carga,,Subte - Linea E - Jose M. Moreno,"$ 1,000.00"
17/07/2024 14:00:01,Uso,LINEA E,,-$ 650.00
